city,month,monthnum,sunshine
Baltimore,Jan,0,155
Baltimore,Feb,1,166
Baltimore,Mar,2,213
Baltimore,Apr,3,231
Baltimore,May,4,254
Baltimore,Jun,5,276
Baltimore,Jul,6,291
Baltimore,Aug,7,263
Baltimore,Sep,8,222
Baltimore,Oct,9,204
Baltimore,Nov,10,159
Baltimore,Dec,11,145
Birminham,Jan,0,138
Birminham,Feb,1,152
Birminham,Mar,2,207
Birminham,Apr,3,248
Birminham,May,4,293
Birminham,Jun,5,294
Birminham,Jul,6,269
Birminham,Aug,7,265
Birminham,Sep,8,244
Birminham,Oct,9,234
Birminham,Nov,10,182
Birminham,Dec,11,136
Boise,Jan,0,108
Boise,Feb,1,152
Boise,Mar,2,238
Boise,Apr,3,282
Boise,May,4,334
Boise,Jun,5,351
Boise,Jul,6,399
Boise,Aug,7,359
Boise,Sep,8,303
Boise,Oct,9,238
Boise,Nov,10,120
Boise,Dec,11,105
Chicago,Jan,0,135
Chicago,Feb,1,136
Chicago,Mar,2,187
Chicago,Apr,3,215
Chicago,May,4,281
Chicago,Jun,5,311
Chicago,Jul,6,318
Chicago,Aug,7,283
Chicago,Sep,8,226
Chicago,Oct,9,193
Chicago,Nov,10,113
Chicago,Dec,11,106
Detroit,Jan,0,90
Detroit,Feb,1,128
Detroit,Mar,2,180
Detroit,Apr,3,212
Detroit,May,4,263
Detroit,Jun,5,295
Detroit,Jul,6,321
Detroit,Aug,7,284
Detroit,Sep,8,226
Detroit,Oct,9,189
Detroit,Nov,10,98
Detroit,Dec,11,89
Houston,Jan,0,144
Houston,Feb,1,141
Houston,Mar,2,193
Houston,Apr,3,212
Houston,May,4,266
Houston,Jun,5,298
Houston,Jul,6,294
Houston,Aug,7,281
Houston,Sep,8,238
Houston,Oct,9,239
Houston,Nov,10,181
Houston,Dec,11,146
Kansas City,Jan,0,146
Kansas City,Feb,1,160
Kansas City,Mar,2,214
Kansas City,Apr,3,237
Kansas City,May,4,254
Kansas City,Jun,5,300
Kansas City,Jul,6,322
Kansas City,Aug,7,288
Kansas City,Sep,8,252
Kansas City,Oct,9,229
Kansas City,Nov,10,171
Kansas City,Dec,11,140
Las Vegas,Jan,0,244
Las Vegas,Feb,1,248
Las Vegas,Mar,2,313
Las Vegas,Apr,3,345
Las Vegas,May,4,387
Las Vegas,Jun,5,402
Las Vegas,Jul,6,390
Las Vegas,Aug,7,368
Las Vegas,Sep,8,336
Las Vegas,Oct,9,303
Las Vegas,Nov,10,246
Las Vegas,Dec,11,235
Miami,Jan,0,222
Miami,Feb,1,227
Miami,Mar,2,266
Miami,Apr,3,275
Miami,May,4,280
Miami,Jun,5,251
Miami,Jul,6,267
Miami,Aug,7,263
Miami,Sep,8,216
Miami,Oct,9,215
Miami,Nov,10,212
Miami,Dec,11,209
Minneapolis,Jan,0,140
Minneapolis,Feb,1,166
Minneapolis,Mar,2,200
Minneapolis,Apr,3,231
Minneapolis,May,4,272
Minneapolis,Jun,5,302
Minneapolis,Jul,6,343
Minneapolis,Aug,7,296
Minneapolis,Sep,8,237
Minneapolis,Oct,9,193
Minneapolis,Nov,10,115
Minneapolis,Dec,11,112
Nashville,Jan,0,123
Nashville,Feb,1,142
Nashville,Mar,2,196
Nashville,Apr,3,241
Nashville,May,4,285
Nashville,Jun,5,308
Nashville,Jul,6,292
Nashville,Aug,7,279
Nashville,Sep,8,250
Nashville,Oct,9,224
Nashville,Nov,10,168
Nashville,Dec,11,126
New York,Jan,0,154
New York,Feb,1,171
New York,Mar,2,213
New York,Apr,3,237
New York,May,4,268
New York,Jun,5,289
New York,Jul,6,302
New York,Aug,7,271
New York,Sep,8,235
New York,Oct,9,213
New York,Nov,10,169
New York,Dec,11,155
Omaha,Jan,0,167
Omaha,Feb,1,158
Omaha,Mar,2,207
Omaha,Apr,3,231
Omaha,May,4,275
Omaha,Jun,5,315
Omaha,Jul,6,331
Omaha,Aug,7,297
Omaha,Sep,8,246
Omaha,Oct,9,217
Omaha,Nov,10,147
Omaha,Dec,11,133
Phoenix,Jan,0,248
Phoenix,Feb,1,244
Phoenix,Mar,2,314
Phoenix,Apr,3,346
Phoenix,May,4,404
Phoenix,Jun,5,404
Phoenix,Jul,6,377
Phoenix,Aug,7,351
Phoenix,Sep,8,334
Phoenix,Oct,9,307
Phoenix,Nov,10,267
Phoenix,Dec,11,236
Providence,Jan,0,170
Providence,Feb,1,175
Providence,Mar,2,217
Providence,Apr,3,225
Providence,May,4,254
Providence,Jun,5,273
Providence,Jul,6,291
Providence,Aug,7,263
Providence,Sep,8,234
Providence,Oct,9,207
Providence,Nov,10,147
Providence,Dec,11,148
Richmond,Jan,0,172
Richmond,Feb,1,179
Richmond,Mar,2,233
Richmond,Apr,3,261
Richmond,May,4,288
Richmond,Jun,5,306
Richmond,Jul,6,301
Richmond,Aug,7,278
Richmond,Sep,8,327
Richmond,Oct,9,222
Richmond,Nov,10,183
Richmond,Dec,11,163
Salt Lake City,Jan,0,137
Salt Lake City,Feb,1,155
Salt Lake City,Mar,2,227
Salt Lake City,Apr,3,269
Salt Lake City,May,4,329
Salt Lake City,Jun,5,358
Salt Lake City,Jul,6,377
Salt Lake City,Aug,7,346
Salt Lake City,Sep,8,306
Salt Lake City,Oct,9,249
Salt Lake City,Nov,10,171
Salt Lake City,Dec,11,135
San Diego,Jan,0,217
San Diego,Feb,1,255
San Diego,Mar,2,234
San Diego,Apr,3,236
San Diego,May,4,277
San Diego,Jun,5,293
San Diego,Jul,6,253
San Diego,Aug,7,261
San Diego,Sep,8,242
San Diego,Oct,9,262
San Diego,Nov,10,212
San Diego,Dec,11,216
San Francisco,Jan,0,165
San Francisco,Feb,1,182
San Francisco,Mar,2,251
San Francisco,Apr,3,281
San Francisco,May,4,314
San Francisco,Jun,5,330
San Francisco,Jul,6,300
San Francisco,Aug,7,272
San Francisco,Sep,8,267
San Francisco,Oct,9,243
San Francisco,Nov,10,189
San Francisco,Dec,11,156
Seattle,Jan,0,69
Seattle,Feb,1,108
Seattle,Mar,2,178
Seattle,Apr,3,207
Seattle,May,4,253
Seattle,Jun,5,268
Seattle,Jul,6,312
Seattle,Aug,7,281
Seattle,Sep,8,221
Seattle,Oct,9,142
Seattle,Nov,10,72
Seattle,Dec,11,52
Washington,Jan,0,76
Washington,Feb,1,97
Washington,Mar,2,135
Washington,Apr,3,182
Washington,May,4,221
Washington,Jun,5,214
Washington,Jul,6,226
Washington,Aug,7,186
Washington,Sep,8,170
Washington,Oct,9,123
Washington,Nov,10,87
Washington,Dec,11,66